gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
5.7204,3.4036,5.26867,38.29252979,-2.524108435,1,36,4.5,83.001,2.365,1.74,7.396,0,17,0.5,43.903,0.385,0.92,3.0553
6.5146,3.9793,5.859264,43.690124,-2.59241595,1,36,4.5,83.001,2.365,1.74,7.396,0,17,0.5,43.903,0.385,0.92,3.0553
9.2312,6.049,8.472539,20.21874659,-3.436073818,1,10,2.5,21.2315,1.785,2.07,9.17965,0,7,0.5,14.2215,0.035,1.09,3.78795
9.4213,6.0806,8.490089,20.2353532,-3.4317245,1,10,2.5,21.2315,1.785,2.07,9.17965,0,7,0.5,14.2215,0.035,1.09,3.78795
7.3432,4.5606,6.695659,16.85657711,-3.12981712,1,10,2.5,21.2315,1.785,2.07,9.17965,0,7,0.5,14.2215,0.035,1.09,3.78795
9.6897,6.5334,8.439698,16.29280357,-3.41120702,1,10,2.5,21.2315,1.785,2.07,9.17965,0,7,0.5,14.2215,0.035,1.09,3.78795
12.8835,7.7603,11.661353,10.00064813,-4.451257025,1,6,2,13.004,1.645,2.48,11.40725,0,3,0,5.994,0.175,1.5,6.01555
13.1056,7.8315,11.711646,10.02117305,-4.440695545,1,6,2,13.004,1.645,2.48,11.40725,0,3,0,5.994,0.175,1.5,6.01555
12.8094,7.8705,10.893587,8.007707816,-4.151444695,1,6,2,13.004,1.645,2.48,11.40725,0,3,0,5.994,0.175,1.5,6.01555
14.5484,9.2081,12.270244,8.047877635,-4.44581934,1,6,2,13.004,1.645,2.48,11.40725,0,3,0,5.994,0.175,1.5,6.01555
6.7964,4.4857,5.946586,31.94034432,-2.707497265,1,28,3.5,66.957,1.9,1.82,7.9215,0,25,1.5,59.947,0.08,0.84,2.5298
6.8932,4.4841,5.826385,31.8887292,-2.70624012,1,28,3.5,66.957,1.9,1.82,7.9215,0,25,1.5,59.947,0.08,0.84,2.5298
4.0471,2.269,3.386065,28.375896,-2.39027951,1,28,3.5,66.957,1.9,1.82,7.9215,0,25,1.5,59.947,0.08,0.84,2.5298
6.4659,4.3694,5.252075,25.79564802,-2.66913752,1,28,3.5,66.957,1.9,1.82,7.9215,0,25,1.5,59.947,0.08,0.84,2.5298
